Time,Euler_x,Euler_y,Euler_z,Grav_x,Grav_y,Grav_z,LinAcc_x,LinAcc_y,LinAcc_z,Control_Setpoint
1912,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.00,-0.19,0.00
1925,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.01,-0.23,0.00
1936,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.00,-0.19,0.00
1949,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.01,-0.20,0.00
2001,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.03,-0.22,0.00
2014,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.01,-0.21,0.00
2026,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.02,-0.24,0.00
2037,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.03,-0.22,0.00
2050,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.00,-0.21,0.00
2062,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,-0.02,-0.18,0.00
2073,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.00,-0.18,0.00
2085,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.01,-0.21,0.00
2097,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.03,-0.19,0.00
2113,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.04,0.00,-0.22,0.00
2125,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,-0.03,-0.23,0.00
2137,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,-0.01,-0.18,0.00
2148,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,-0.02,-0.19,0.00
2163,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.00,-0.17,0.00
2176,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.02,-0.21,0.00
2187,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.04,0.01,-0.18,0.00
2200,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.03,-0.19,0.00
2212,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.01,-0.18,0.00
2223,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.02,-0.25,0.00
2234,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.02,-0.22,0.00
2246,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.00,-0.27,0.00
2257,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.03,-0.23,0.00
2268,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.00,-0.17,0.00
2283,359.62,-3.75,4.00,-0.65,-0.68,9.76,-0.01,0.00,-0.23,0.00
2294,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.00,-0.20,0.00
2305,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.01,-0.17,0.00
2317,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.01,-0.21,0.00
2333,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.00,-0.18,0.00
2344,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.00,-0.18,0.00
2356,359.62,-3.75,4.00,-0.65,-0.68,9.76,-0.01,0.00,-0.20,0.00
2367,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.01,-0.25,0.00
2378,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.04,0.00,-0.25,0.00
2389,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.02,-0.21,0.00
2401,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.02,-0.20,0.00
2415,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.02,-0.17,0.00
2427,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.00,-0.22,0.00
2438,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.02,-0.21,0.00
2449,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.02,-0.21,0.00
2464,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.00,-0.22,0.00
2477,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.01,-0.21,0.00
2488,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.00,-0.21,0.00
2501,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,-0.01,-0.21,0.00
2514,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,-0.01,-0.17,0.00
2527,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.00,-0.21,0.00
2538,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.00,-0.18,0.00
2549,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.02,-0.20,0.00
2565,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.01,-0.22,0.00
2577,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.01,-0.23,0.00
2588,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.00,-0.24,0.00
2599,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.04,-0.01,-0.21,0.00
2610,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.01,-0.18,0.00
2625,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.02,-0.20,0.00
