Time,Euler_x,Euler_y,Euler_z,Grav_x,Grav_y,Grav_z,LinAcc_x,LinAcc_y,LinAcc_z,Control_Setpoint
1949,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1984,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1996,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2008,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2031,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2042,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2054,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2066,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2078,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2089,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2101,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2113,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2125,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2137,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2148,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2171,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2182,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2197,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2208,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2222,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2235,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2249,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2264,0.00,0.00,0.00,0.00,0.00,0.00,-0.98,0.33,-0.27,0.00
2276,359.62,0.00,0.00,0.00,0.00,9.80,-1.00,0.36,-0.24,0.00
2326,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.00,-0.01,-0.19,0.00
2337,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.00,-0.03,-0.19,0.00
2348,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.01,-0.01,-0.19,0.00
2364,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.02,0.00,-0.19,0.00
2376,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.05,0.00,-0.19,0.00
2387,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.04,-0.01,-0.23,0.00
2398,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.00,-0.01,-0.22,0.00
2411,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.01,-0.01,-0.18,0.00
2424,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.01,-0.01,-0.18,0.00
2436,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.01,-0.01,-0.15,0.00
2448,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.03,0.00,-0.15,0.00
2464,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.02,-0.02,-0.19,0.00
2476,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.00,0.00,-0.21,0.00
2487,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.00,-0.02,-0.17,0.00
2498,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.00,-0.01,-0.16,0.00
2511,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.02,-0.01,-0.13,0.00
2524,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.01,-0.01,-0.16,0.00
2537,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.00,-0.01,-0.19,0.00
2548,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.01,-0.02,-0.22,0.00
2564,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.03,-0.03,-0.21,0.00
2577,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.00,0.00,-0.19,0.00
2588,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.02,0.00,-0.18,0.00
2599,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.00,-0.01,-0.17,0.00
2611,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.00,0.00,-0.17,0.00
2623,359.62,-5.88,-2.06,-1.01,0.35,9.74,0.01,0.00,-0.18,0.00
