Time,Euler_x,Euler_y,Euler_z,Grav_x,Grav_y,Grav_z,LinAcc_x,LinAcc_y,LinAcc_z,Control_Setpoint
1143,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1154,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1166,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1177,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1289,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1300,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1312,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1324,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1335,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1346,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1358,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1369,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1383,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1394,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1408,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1422,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1436,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1448,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1461,359.62,-7.06,-1.69,-1.21,0.29,9.72,0.04,0.00,-0.18,0.00
1473,359.62,-7.06,-1.69,-1.21,0.29,9.72,0.03,0.04,-0.07,0.00
1485,359.62,-7.06,-1.69,-1.21,0.29,9.72,0.04,0.02,-0.15,0.00
1501,359.62,-7.06,-1.69,-1.21,0.29,9.72,0.01,0.03,-0.19,0.00
1513,359.62,-7.06,-1.69,-1.21,0.29,9.72,0.02,0.03,-0.26,0.00
1525,359.62,-7.06,-1.69,-1.21,0.29,9.72,0.04,0.02,-0.24,0.00
1538,359.62,-7.06,-1.69,-1.21,0.29,9.72,0.03,0.04,-0.16,0.00
1555,359.62,-7.06,-1.69,-1.21,0.29,9.72,0.10,0.05,-0.09,0.00
1570,359.62,-7.06,-1.69,-1.21,0.29,9.72,-0.03,0.02,-0.26,0.00
1581,359.62,-7.12,-1.69,-1.21,0.28,9.72,-0.01,-0.05,-0.10,0.00
1593,359.62,-7.12,-1.69,-1.21,0.29,9.72,0.01,0.01,-0.16,0.00
1604,359.62,-7.12,-1.69,-1.21,0.29,9.72,-0.03,0.05,-0.25,0.00
1615,359.62,-7.06,-1.69,-1.21,0.29,9.72,0.03,0.03,-0.18,0.00
1626,359.62,-7.06,-1.69,-1.21,0.29,9.72,0.01,0.01,-0.15,0.00
1640,359.62,-7.06,-1.69,-1.21,0.29,9.72,0.04,0.03,-0.24,0.00
1652,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.08,0.04,-0.13,0.00
1663,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.06,0.06,-0.19,0.00
1674,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.06,0.02,-0.17,0.00
1685,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.05,0.01,-0.14,0.00
1696,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.04,0.04,-0.19,0.00
1712,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.03,0.04,-0.21,0.00
1724,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.03,0.00,-0.22,0.00
1735,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.03,0.00,-0.20,0.00
1746,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.01,-0.01,-0.20,0.00
1758,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.03,0.01,-0.11,0.00
1771,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.06,0.03,-0.15,0.00
1784,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.04,0.02,-0.19,0.00
1795,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.04,0.05,-0.17,0.00
1806,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.04,0.05,-0.20,0.00
1822,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.04,0.02,-0.18,0.00
1834,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.03,0.03,-0.15,0.00
1846,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.04,0.03,-0.16,0.00
1857,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.04,0.03,-0.24,0.00
1872,359.62,-7.06,-1.69,-1.20,0.29,9.72,0.03,0.02,-0.20,0.00
